DayforceBranchNo,LastName,BirthDate,FirstDayWorked,Street,City,Province/State,Postal/ZipCode,PayRate,SIN,AdditionalEmail,PhoneNumber,Email
"nnn","Hawking","1997-12-17","2024-11-01","24 Elphinstone St","Regina","SK","S4T 3N8","3.00","958435605","","",""
"bbbb","Dole","1972-07-09","2016-07-19","6915 McTavish Street","Regina","SK","S4S 3M9","512.049","542232040","","",""
"ccccccc","Curie","2002-07-11","2024-10-24","8775 McNab Cres","Regina","SK","S4S 4A9","2.70","868480161","","",""
"dddddd","Conway","2000-11-11","2024-09-24","8775 McNab Cres","Regina","SK","S4S 4A9","2.85","623147011","","",""
"eeeeee","Onasis","1970-09-30","2024-08-20","10617-860 Assiniboine Ave E.","Regina","SK","S4V 2P8","2.776","765180871","","",""
"","Day Lewis","1979-03-06","2022-09-15","1064 Habkirk Dr","Regina","SK","S4S 6A8","472.067","658999615","","",""
"","Cruz","1964-06-18","2018-10-01","800 Duncan Cres.","Regina","SK","S4T 6L5","2.554","663966820","","",""
"","Degeneres","1989-01-21","2023-07-02","808 Assiniboine Ave","Regina","SK","S4V 0K6","2.523","661693219","","",""
"","Jackson","2000-11-19","2024-08-16","4236 McDonald St","Regina","SK","S4N 2Z8","2.776","123456789","","",""
"","Price","1954-08-05","2010-05-03","8097 N. Athlone Dr.","Regina","SK","S4X 2E5","126.227","789123456","","",""
"","Doe","1977-05-06","2024-03-11","132-545 Keohan Cres","Regina","SK","S4V 1H9","2.85","789456123","","",""
"","Hadid","1982-09-10","2015-08-01","26383 E. Margaret Place","Regina","SK","S4V 1Z4","2.756","321039866","","",""
"","Tyler Moore","1956-09-13","2021-09-01","46857 Assiniboine Ave. E","Regina","SK","S4V 2E4","820.095","456392798","","",""
"","Boris","1999-11-25","2024-09-03","B-4625 McDonald St","Regina","SK","S4N 2Z8","2.573","155991436","","",""
"","Pretzel","1949-01-10","2021-03-01","7000 Broad St - Unit 908","Regina","SK","S4P 1Y8","3.615","217647805","","",""
"","Smith","1985-09-15","2016-07-11","8269 E Woodhams Dr.","Regina","SK","S4V 3A2","336.287","859877604","","",""
"","Stevens","1957-02-04","2019-07-19","400 Hodges Cres","Regina","SK","S4N 4R3","272.268","614093123","","",""
"","Coco","1999-09-23","2024-09-03","83798 11th Ave","Regina","SK","S4T 1G2","2.550","689123037","","",""
"","Hart","1999-02-05","2023-08-14","42136 Grant Road","Regina","SK","S4S 5V1","2.573","567451108","","",""
"","James","1981-03-14","2017-10-02","8975 Aberdeen Crescent","Regina","SK","S4T 6A9","3.050","648321999","","",""
"","Spade","1965-06-03","2023-09-01","2 Wadey Drive","Regina","SK","S4N 7J9","423.917","464908905","","",""
"","Spelling","1979-09-20","2005-01-01","65 Sandhill Crescent Unit 107","Regina","SK","S4V 3G9","512.875","687931688","","",""
"","Switzerland","1966-09-08","2019-10-01","4 Gordon Road","Regina","SK","S4S 5X4","305.392","647620903","","",""
"","Ferdinand","1982-02-07","2021-10-12","39876 Aitken Cr","Regina","SK","S4R 5W7","3.132","569845987","","",""
"","Johnson","1973-03-08","2017-08-01","41-25 2nd Ave","Regina","SK","S4T 0B3","352.951","987654321","","",""
"","Broderick","1989-09-20","2013-12-15","84973 Shaffer Street","Regina","SK","S4W 0L4","472.067","321987654","","",""
"","Winslet","1980-07-04","2022-01-04","Box 1937","Lumsden","SK","S0G 3C0","256.884","654578572","","",""
"","Bowie","1980-11-22","2024-12-15","56397 McDonald Street","Regina","SK","S4N 3A2","693.125","569157124","","",""
